date,store_id,product_id,product_name,category,season,quantity_sold,unit_price,revenue,current_stock,lead_time_days,expiry_risk,is_festival_month
2022-01-01,STORE_001,P001,Paracetamol 500mg,fever,Winter,168,15.0,2520.0,5836,3,0,1
2022-01-01,STORE_001,P002,ORS Powder,hydration,Winter,74,12.0,888.0,3910,4,0,1
2022-01-01,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,103,85.0,8755.0,3209,5,0,1
2022-01-01,STORE_001,P004,Cetirizine 10mg,allergy,Winter,78,25.0,1950.0,3408,4,0,1
2022-01-01,STORE_001,P005,Dolo 650,fever,Winter,150,30.0,4500.0,5354,3,0,1
2022-01-01,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,42,120.0,5040.0,2046,6,0,1
2022-01-01,STORE_001,P007,Vitamin C 500mg,supplement,Winter,114,45.0,5130.0,4638,5,0,1
2022-01-01,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,48,20.0,960.0,2691,4,0,1
2022-01-01,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,39,65.0,2535.0,2310,6,0,1
2022-01-01,STORE_001,P010,Electral Powder,hydration,Winter,63,18.0,1134.0,3672,4,0,1
2022-01-01,STORE_001,P011,Insulin Glargine,diabetes,Winter,21,450.0,9450.0,1581,7,0,1
2022-01-01,STORE_001,P012,Antihistamine Tabs,allergy,Winter,68,35.0,2380.0,3169,4,0,1
2022-01-02,STORE_001,P001,Paracetamol 500mg,fever,Winter,174,15.0,2610.0,5662,3,0,1
2022-01-02,STORE_001,P002,ORS Powder,hydration,Winter,61,12.0,732.0,3849,4,0,1
2022-01-02,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,91,85.0,7735.0,3118,5,0,1
2022-01-02,STORE_001,P004,Cetirizine 10mg,allergy,Winter,60,25.0,1500.0,3348,4,0,1
2022-01-02,STORE_001,P005,Dolo 650,fever,Winter,171,30.0,5130.0,5183,3,0,1
2022-01-02,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,36,120.0,4320.0,2010,6,0,1
2022-01-02,STORE_001,P007,Vitamin C 500mg,supplement,Winter,123,45.0,5535.0,4515,5,0,1
2022-01-02,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,43,20.0,860.0,2648,4,0,1
2022-01-02,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,39,65.0,2535.0,2271,6,0,1
2022-01-02,STORE_001,P010,Electral Powder,hydration,Winter,71,18.0,1278.0,3601,4,0,1
2022-01-02,STORE_001,P011,Insulin Glargine,diabetes,Winter,27,450.0,12150.0,1554,7,0,1
2022-01-02,STORE_001,P012,Antihistamine Tabs,allergy,Winter,64,35.0,2240.0,3105,4,0,1
2022-01-03,STORE_001,P001,Paracetamol 500mg,fever,Winter,163,15.0,2445.0,5499,3,0,1
2022-01-03,STORE_001,P002,ORS Powder,hydration,Winter,81,12.0,972.0,3768,4,0,1
2022-01-03,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,99,85.0,8415.0,3019,5,0,1
2022-01-03,STORE_001,P004,Cetirizine 10mg,allergy,Winter,89,25.0,2225.0,3259,4,0,1
2022-01-03,STORE_001,P005,Dolo 650,fever,Winter,151,30.0,4530.0,5032,3,0,1
2022-01-03,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,41,120.0,4920.0,1969,6,0,1
2022-01-03,STORE_001,P007,Vitamin C 500mg,supplement,Winter,119,45.0,5355.0,4396,5,0,1
2022-01-03,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,60,20.0,1200.0,2588,4,0,1
2022-01-03,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,40,65.0,2600.0,2231,6,0,1
2022-01-03,STORE_001,P010,Electral Powder,hydration,Winter,89,18.0,1602.0,3512,4,0,1
2022-01-03,STORE_001,P011,Insulin Glargine,diabetes,Winter,42,450.0,18900.0,1512,7,0,1
2022-01-03,STORE_001,P012,Antihistamine Tabs,allergy,Winter,78,35.0,2730.0,3027,4,0,1
2022-01-04,STORE_001,P001,Paracetamol 500mg,fever,Winter,181,15.0,2715.0,5922,3,0,1
2022-01-04,STORE_001,P002,ORS Powder,hydration,Winter,92,12.0,1104.0,3676,4,0,1
2022-01-04,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,94,85.0,7990.0,2925,5,0,1
2022-01-04,STORE_001,P004,Cetirizine 10mg,allergy,Winter,59,25.0,1475.0,3200,4,0,1
2022-01-04,STORE_001,P005,Dolo 650,fever,Winter,152,30.0,4560.0,5434,3,0,1
2022-01-04,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,47,120.0,5640.0,1922,6,0,1
2022-01-04,STORE_001,P007,Vitamin C 500mg,supplement,Winter,127,45.0,5715.0,4269,5,0,1
2022-01-04,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,45,20.0,900.0,2543,4,0,1
2022-01-04,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,49,65.0,3185.0,2182,6,0,1
2022-01-04,STORE_001,P010,Electral Powder,hydration,Winter,75,18.0,1350.0,3437,4,0,1
2022-01-04,STORE_001,P011,Insulin Glargine,diabetes,Winter,28,450.0,12600.0,1484,7,0,1
2022-01-04,STORE_001,P012,Antihistamine Tabs,allergy,Winter,73,35.0,2555.0,2954,4,0,1
2022-01-05,STORE_001,P001,Paracetamol 500mg,fever,Winter,198,15.0,2970.0,5724,3,0,1
2022-01-05,STORE_001,P002,ORS Powder,hydration,Winter,93,12.0,1116.0,3967,4,0,1
2022-01-05,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,96,85.0,8160.0,2829,5,0,1
2022-01-05,STORE_001,P004,Cetirizine 10mg,allergy,Winter,70,25.0,1750.0,3466,4,0,1
2022-01-05,STORE_001,P005,Dolo 650,fever,Winter,132,30.0,3960.0,5302,3,0,1
2022-01-05,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,47,120.0,5640.0,1875,6,0,1
2022-01-05,STORE_001,P007,Vitamin C 500mg,supplement,Winter,120,45.0,5400.0,4149,5,0,1
2022-01-05,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,54,20.0,1080.0,2753,4,0,1
2022-01-05,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,53,65.0,3445.0,2129,6,0,1
2022-01-05,STORE_001,P010,Electral Powder,hydration,Winter,70,18.0,1260.0,3727,4,0,1
2022-01-05,STORE_001,P011,Insulin Glargine,diabetes,Winter,34,450.0,15300.0,1450,7,0,1
2022-01-05,STORE_001,P012,Antihistamine Tabs,allergy,Winter,70,35.0,2450.0,3196,4,0,1
2022-01-06,STORE_001,P001,Paracetamol 500mg,fever,Winter,154,15.0,2310.0,5570,3,0,1
2022-01-06,STORE_001,P002,ORS Powder,hydration,Winter,83,12.0,996.0,3884,4,0,1
2022-01-06,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,119,85.0,10115.0,3322,5,0,1
2022-01-06,STORE_001,P004,Cetirizine 10mg,allergy,Winter,80,25.0,2000.0,3386,4,0,1
2022-01-06,STORE_001,P005,Dolo 650,fever,Winter,161,30.0,4830.0,5141,3,0,1
2022-01-06,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,49,120.0,5880.0,1826,6,0,1
2022-01-06,STORE_001,P007,Vitamin C 500mg,supplement,Winter,84,45.0,3780.0,4767,5,0,1
2022-01-06,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,63,20.0,1260.0,2690,4,0,1
2022-01-06,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,47,65.0,3055.0,2082,6,0,1
2022-01-06,STORE_001,P010,Electral Powder,hydration,Winter,75,18.0,1350.0,3652,4,0,1
2022-01-06,STORE_001,P011,Insulin Glargine,diabetes,Winter,31,450.0,13950.0,1419,7,0,1
2022-01-06,STORE_001,P012,Antihistamine Tabs,allergy,Winter,52,35.0,1820.0,3144,4,0,1
2022-01-07,STORE_001,P001,Paracetamol 500mg,fever,Winter,171,15.0,2565.0,6003,3,0,1
2022-01-07,STORE_001,P002,ORS Powder,hydration,Winter,87,12.0,1044.0,3797,4,0,1
2022-01-07,STORE_001,P003,Cough Syrup 100ml,respiratory,Winter,126,85.0,10710.0,3196,5,0,1
2022-01-07,STORE_001,P004,Cetirizine 10mg,allergy,Winter,68,25.0,1700.0,3318,4,0,1
2022-01-07,STORE_001,P005,Dolo 650,fever,Winter,157,30.0,4710.0,5538,3,0,1
2022-01-07,STORE_001,P006,Azithromycin 500mg,antibiotic,Winter,39,120.0,4680.0,2075,6,0,1
2022-01-07,STORE_001,P007,Vitamin C 500mg,supplement,Winter,130,45.0,5850.0,4637,5,0,1
2022-01-07,STORE_001,P008,Ibuprofen 400mg,painkiller,Winter,65,20.0,1300.0,2625,4,0,1
2022-01-07,STORE_001,P009,Amoxicillin 250mg,antibiotic,Winter,48,65.0,3120.0,2358,6,0,1
2022-01-07,STORE_001,P010,Electral Powder,hydration,Winter,81,18.0,1458.0,3571,4,0,1
2022-01-07,STORE_001,P011,Insulin Glargine,diabetes,Winter,36,450.0,16200.0,1383,7,0,1
2022-01-07,STORE_001,P012,Antihistamine Tabs,allergy,Winter,69,35.0,2415.0,3075,4,0,1
2022-01-08,STORE_001,P001,Paracetamol 500mg,fever,Winter,153,15.0,2295.0,5850,3,0,1
2022-01-08,STORE_001,P002,ORS Powder,hydration,Winter,81,12.0,972.0,3716,4,0,1
